2050,1,2,10,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,3.2,-4.8,53,103150,407,1413,329,232,341,134,24345,28849,15776,2771,0,0,10,9,9999,99999,9,999999999,100,999,999,99
2050,1,2,11,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,5.1,-6,42,102950,532,1413,338,322,422,162,33127,38671,20156,3235,160,3.6,10,9,9999,99999,9,999999999,100,999,999,99
2050,1,2,12,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,6,-5.3,42,102850,597,1413,343,368,413,193,38975,39744,22369,4219,130,5.1,10,9,9999,99999,9,999999999,100,999,999,99
2050,1,2,13,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,6,-3,51,102850,595,1413,343,215,64,188,23672,6094,21181,5262,170,3.6,10,10,9999,99999,9,999999999,100,999,999,99
2050,1,2,14,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,5.1,-1.8,60,102750,529,1413,338,67,4,65,7987,223,7803,2888,150,3.6,10,10,9999,99999,9,999999999,100,999,999,99
2050,1,2,15,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,5.1,-1.8,60,102650,401,1413,338,36,0,36,4417,74,4344,1561,150,1.5,10,10,9999,99999,9,999999999,100,999,999,99
2050,1,2,16,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,5.1,-0.8,65,102550,221,1413,338,18,2,17,2147,0,2147,714,140,1.5,10,10,9999,99999,9,999999999,100,999,999,99
2050,1,2,17,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,5.1,-0.8,65,102550,30,730,338,1,0,1,125,0,125,39,0,0,10,10,9999,99999,9,999999999,100,999,999,99
2050,1,2,18,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,5.1,-0.8,65,102550,0,0,338,0,0,0,0,0,0,0,0,0,10,10,9999,99999,9,999999999,100,999,999,99
2050,1,2,19,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,5.1,-0.8,65,102450,0,0,338,0,0,0,0,0,0,0,120,2.1,10,10,9999,99999,9,999999999,100,999,999,99
2050,1,2,20,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,5.1,-0.8,65,102350,0,0,338,0,0,0,0,0,0,0,0,0,10,10,9999,99999,9,999999999,100,999,999,99
2050,1,2,21,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,5.1,0.2,71,102250,0,0,338,0,0,0,0,0,0,0,0,0,10,10,9999,99999,9,999999999,100,999,999,99
2050,1,2,22,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,4.2,1.7,84,102250,0,0,334,0,0,0,0,0,0,0,0,0,10,10,9999,99999,9,999999999,100,999,999,99
